available,category,desc1,desc2,itemnumber,manufacturer,mfgpnumber,msrp,price1,price2,price3,qty1,qty2,qty3,upc,weight,serialized,mapprice
"0","MAGAZINES (REPLACEMENT)","ANSCHUTZ MAGAZINE 22LR 10RD","BLUED STEEL","001154","Anschutz","001154","84.95","78.95","","","1","","","4046654011548","0.100","NO",""
"5","ARCHERY ACCESSORIES","EASTON SONIC 6.0 MATCH 340","W/3"" AAE HYBRID VANES 6-PACK","001373","Easton","001373","117.99","63.95","","","1","","","723560013739","0.500","NO","99.99"
"5","ARCHERY ACCESSORIES","EASTON 4MM EMJ MATCH GRADE 340","6-PACK W/ 3"" AAE HYBRID VANES","001392","Easton","001392","194.99","121.95","","","1","","","723560013920","0.600","NO","169.99"
"2","MAGAZINES (REPLACEMENT)","ANSCHUTZ SINGLE SHOT ADAPTER","FITS 22LR REPEATERS","001485","Anschutz","001485","25.5","23.95","","","1","","","4046654014853","0.100","NO",""
"6","ARCHERY ACCESSORIES","TAC VANES ADHESION KIT","0.5OZ GLUE AND PRIMER PEN","00151001152","TAC VANES","80TAC-0016100-1152","20.99","13.95","","","1","","","810024611522","0.110","NO","19.99"
"11","PEPPER SPRAY","MACE PEPPER SPRAY GUARD ALASKA","BEAR W/20% OC PEPPER 260GRAM","00153M","Mace","00153","44.99","26.95","","","1","","","843925001536","1.010","NO",""
"0","CLOTHING","HOT SHOT MERINO WOOL","FINGERLESS GLOVE ONE SIZE","00160C","Hot Shot","00-160C","13.99","12.13","","","1","","","043552029761","0.150","NO",""
"12","ARCHERY ACCESSORIES","TAC VANES PRIMER PEN .34 FL OZ","1-PACK","00161001151","TAC VANES","80TAC-0016100-1151","10.99","7.95","","","1","","","810024611515","0.040","NO","9.99"
"6","CALLS AND CALLERS","HS DEER CALL CAN STYLE YOUNG","DOE ESTRUS BLEAT","00166","Hunters Specialties","HS-00166","9.99","5.35","","","1","","","021291001668","0.100","NO",""
"6","CALLS AND CALLERS","HS DEER CALL CAN STYLE ADULT","DOE ESTRUS BLEAT","00167","Hunters Specialties","HS-00167","11.99","6.59","","","1","","","021291001675","0.170","NO",""
"6","CALLS AND CALLERS","HS DEER CALL CAN STYLE MEGA","ADULT DOE ESTRUS BLEAT","00168Z","Hunters Specialties","HS-00168","14.99","8.04","","","1","","","021291001682","0.240","NO",""
"4","LIGHTS AND ACCESSORIES","STRIKER TRILIGHT SHOP LIGHT","3000 LUMENS W/ADJUSTABLE HEAD<","00177S","Striker","00177","129.99","77.00","","","1","","","894717001777","1.750","NO","129.99"
"20","CALLS AND CALLERS","HS DEER CALL RATTLE BAG","RUTTIN BUCK","00181","Hunters Specialties","HS-00181","9.99","6.38","","","1","","","021291001811","0.580","NO",""
"0","HOLSTERS AND RELATED ITEMS","DESANTIS THUMB BREAK SCABBARD","RH OWB S&W SHLD 9 EZ BLK","001BA1RZ0","DeSantis","001BA1RZ0","95.99","53.13","","","1","","","792695362098","0.400","NO",""
"2","HOLSTERS AND RELATED ITEMS","DESANTIS THUMB BREAK SCABBARD","RH OWB FITS GLOCK 48 BLACK","001BA3NZ0","DeSantis","001BA3NZ0","95.99","53.13","","","1","","","792695357216","0.350","NO",""
"0","HOLSTERS AND RELATED ITEMS","DESANTIS THUMB BREAK SCABBARD","RH OWB LEATHER GLK 192336 BL","001BAB6Z0","DeSantis","001BAB6Z0","95.99","53.13","","","1","","","792695234128","0.350","NO",""
"2","HOLSTERS AND RELATED ITEMS","DESANTIS THUMB BREAK SCABBARD","RH OWB LEATHER RUGER SEC 9 TAN","001TA1IZ0","DeSantis","001TA1IZ0","90.99","50.36","","","1","","","792695347149","0.350","NO",""
"2","HOLSTERS AND RELATED ITEMS","DESANTIS THUMB BREAK SCABBARD","RH OWB LTHER M&P SHLD 9 EZ TN","001TA1RZ0","DeSantis","001TA1RZ0","95.99","53.13","","","1","","","792695362111","0.350","NO",""
"0","HOLSTERS AND RELATED ITEMS","DESANTIS THUMB BREAK SCABBARD","RH OWB LEATHER TAURUS G3 TAN","001TA5QZ0","DeSantis","001TA5QZ0","90.99","53.36","","","1","","","792695363071","0.350","NO",""
"1","HOLSTERS AND RELATED ITEMS","DESANTIS THUMB BREAK SCABBARD","RH OWB LEATHER SIG P250/320 TN","001TA8HZ0","DeSantis","001TA8HZ0","95.99","53.13","","","1","","","792695342298","0.050","NO",""
"2","HOLSTERS AND RELATED ITEMS","DESANTIS THUMB BREAK SCABBARD","RH OWB LEATHER GLK 192336 TN","001TAB6Z0","DeSantis","001TAB6Z0","95.99","53.13","","","1","","","792695234166","0.350","NO",""
"2","HOLSTERS AND RELATED ITEMS","DESANTIS THUMB BREAK SCABBARD","RH OWB LEATHER GLK 262733 TN","001TAE1Z0","DeSantis","001TAE1Z0","95.99","53.13","","","1","","","792695200451","0.400","NO",""
"1","HOLSTERS AND RELATED ITEMS","DESANTIS THUMB BREAK SCABBARD","RH OWB LEATHER M&P 9/40 2.0 TN","001TAM9Z0","DeSantis","001TAM9Z0","95.99","53.13","","","1","","","792695270096","0.400","NO",""
"2","HOLSTERS AND RELATED ITEMS","DESANTIS THUMB BREAK SCABBARD","RH OWB LEATHER M&P SHLD 9 TAN","001TAX7Z0","DeSantis","001TAX7Z0","95.99","53.13","","","1","","","792695315544","0.350","NO",""
"29","BLINDS","HS FACE PAINT WOODLAND CAMO","COMPAC - GREEN BLACK BROWN","00260","Hunters Specialties","HS-00260","5.99","3.28","","","1","","","021291002603","0.130","NO",""
"8","BLINDS","HS FACE PAINT 3-SPEED CAMO KIT","BROWNGREENBLACK","00261","Hunters Specialties","HS-00261","7.99","4.39","","","1","","","021291002610","0.265","NO",""
"18","BLINDS","HS FACE PAINT CREME TUBE KIT","WOODLAND-BROWNGREENBLACK","00268","Hunters Specialties","HS-00268","5.99","3.51","","","1","","","021291002689","0.250","NO",""
"12","BLINDS","HS FACE PAINT REMOVER PADS","CAMO-OFF 30PK","00299","Hunters Specialties","HS-00299","5.99","3.28","","","1","","","021291002993","0.275","NO",""
"0","HOLSTERS AND RELATED ITEMS","DESANTIS SPEED SCABBARD HOLSTR","RH OWB LEATHER RUGER SEC 9 BLK","002BA1IZ0","DeSantis","002BA1IZ0","88.99","49.26","","","1","","","792695347163","0.300","NO",""
"1","HOLSTERS AND RELATED ITEMS","DESANTIS SPEED SCABBARD HOLSTR","RH OWB LEATHER FN 509 BLACK","002BA1JZ0","DeSantis","002BA1JZ0","93.99","52.02","","","1","","","792695347910","0.300","NO",""
"2","HOLSTERS AND RELATED ITEMS","DESANTIS SPEED SCABBARD HOLSTR","RH OWB LEATHER SHIELD 9 EZ BLK","002BA1RZ0","DeSantis","002BA1RZ0","93.99","52.02","","","1","","","792695362135","0.300","NO",""
"2","HOLSTERS AND RELATED ITEMS","DESANTIS SPEED SCABBARD HOLSTR","RH OWB LEATHER 1911 5"" BL","002BA21Z0","DeSantis","002BA21Z0","93.99","52.02","","","1","","","792695295761","0.350","NO",""
"0","HOLSTERS AND RELATED ITEMS","DESANTIS SPEED SCABBARD HOLSTR","RH OWB LEATHER FOR GLOCK 48 BL","002BA3NZ0","DeSantis","002BA3NZ0","88.99","49.26","","","1","","","792695357254","0.300","NO",""
"0","HOLSTERS AND RELATED ITEMS","DESANTIS SPEED SCABBARD HOLSTR","RH OWB LEATHER TAURUS G3 BLACK","002BA5QZ0","DeSantis","002BA5QZ0","93.99","52.02","","","1","","","792695363095","0.350","NO",""
"2","HOLSTERS AND RELATED ITEMS","DESANTIS SPEED SCABBARD HOLSTR","RH OWB LEATHER RUGER 57 BLK","002BA7QZ0","DeSantis","002BA7QZ0","93.99","52.02","","","1","","","792695362715","0.380","NO",""
"1","HOLSTERS AND RELATED ITEMS","DESANTIS SPEED SCABBARD HOLSTR","RH OWB LEATHER SF XDM 3.8"" BLK","002BA88Z0","DeSantis","002BA88Z0","93.99","52.02","","","1","","","792695203780","0.350","NO",""
"1","HOLSTERS AND RELATED ITEMS","DESANTIS SPEED SCABBARD HOLSTR","RH OWB LEATHER GLK 172231 BL","002BAB2Z0","DeSantis","002BAB2Z0","93.99","52.02","","","1","","","792695226208","0.300","NO",""
"1","HOLSTERS AND RELATED ITEMS","DESANTIS SPEED SCABBARD HOLSTR","RH OWB LEATHER GLK 2627 BLK<","002BAE1Z0","DeSantis","002BAE1Z0","93.99","37.95","","","1","","","792695309376","0.300","NO",""
"0","HOLSTERS AND RELATED ITEMS","DESANTIS SPEED SCABBARD HOLSTR","RH OWB LEATHER GLK 2930 BLK<","002BAE8Z0","DeSantis","002BAE8Z0","86.99","47.76","","","1","","","792695203452","0.350","NO",""
"3","HOLSTERS AND RELATED ITEMS","DESANTIS SPEED SCABBARD HOLSTR","RH OWB LEATHER JUDGE PD 2"" BLK","002BAI6Z0","DeSantis","002BAI6Z0","93.99","52.02","","","1","","","792695301929","0.350","NO",""
"2","HOLSTERS AND RELATED ITEMS","DESANTIS SPEED SCABBARD HOLSTR","RH OWB LEATHER M&P 9/40/45C BL","002BAM9Z0","DeSantis","002BAM9Z0","93.99","52.02","","","1","","","792695270119","0.300","NO",""
"1","HOLSTERS AND RELATED ITEMS","DESANTIS SPEED SCABBARD HOLSTR","RH OWB LEATHER LCR 1 7/8"" BLK","002BAN3Z0","DeSantis","002BAN3Z0","93.99","52.02","","","1","","","792695293866","0.250","NO",""
"3","HOLSTERS AND RELATED ITEMS","DESANTIS SPEED SCABBARD HOLSTR","RH OWB LEATHER GLK 2021 BLK","002BAN7Z0","DeSantis","002BAN7Z0","93.99","52.02","","","1","","","792695276029","0.350","NO",""
"3","HOLSTERS AND RELATED ITEMS","DESANTIS SPEED SCABBARD HOLSTR","RH OWB LEATHER JUDGE 3"" BLK","002BAP5Z0","DeSantis","002BAP5Z0","93.99","52.02","","","1","","","792695297802","0.380","NO",""
"1","HOLSTERS AND RELATED ITEMS","DESANTIS SPEED SCABBARD HOLSTR","RH OWB LEATHER S&W GOVERNOR BL","002BAV1Z0","DeSantis","002BAV1Z0","93.99","52.02","","","1","","","792695306672","0.400","NO",""
"0","HOLSTERS AND RELATED ITEMS","DESANTIS SPEED SCABBARD HOLSTR","RH OWB LEATHER WAL PPQ 4"" BLK","002BAV4Z0","DeSantis","002BAV4Z0","88.99","51.26","","","1","","","792695307167","0.350","NO",""
"1","HOLSTERS AND RELATED ITEMS","DESANTIS SPEED SCABBARD HOLSTR","RH OWB LEATHER SHIELD 9/40 BLK","002BAX7Z0","DeSantis","002BAX7Z0","93.99","52.02","","","1","","","792695323259","0.300","NO",""
"1","HOLSTERS AND RELATED ITEMS","DESANTIS SPEED SCABBARD HOLSTR","RH OWB LEATHER RUGER SEC 9 TN!","002TA1IZ0","DeSantis","002TA1IZ0","88.99","39.95","","","1","","","792695347187","0.300","NO",""
"1","HOLSTERS AND RELATED ITEMS","DESANTIS SPEED SCABBARD HOLSTR","RH OWB LEATHER FN 509 TAN","002TA1JZ0","DeSantis","002TA1JZ0","93.99","52.02","","","1","","","792695347934","0.300","NO",""
"0","HOLSTERS AND RELATED ITEMS","DESANTIS SPEED SCABBARD HOLSTR","RH OWB LTHR FITS GLOCK 48 TAN","002TA3NZ0","DeSantis","002TA3NZ0","88.99","49.26","","","1","","","792695357278","0.300","NO",""
"1","HOLSTERS AND RELATED ITEMS","DESANTIS SPEED SCABBARD HOLSTR","RH OWB LEATHER TAURUS G3 TAN","002TA5QZ0","DeSantis","002TA5QZ0","93.99","52.02","","","1","","","792695363118","0.350","NO",""
"1","HOLSTERS AND RELATED ITEMS","DESANTIS SPEED SCABBARD HOLSTR","RH OWB LEATHER RUGER 57 TAN","002TA7QZ0","DeSantis","002TA7QZ0","93.99","52.02","","","1","","","792695362739","0.400","NO",""
"2","HOLSTERS AND RELATED ITEMS","DESANTIS SPEED SCABBARD HOLSTR","RH OWB LEATHER SF XDM 3.8"" TAN","002TA88Z0","DeSantis","002TA88Z0","93.99","52.02","","","1","","","792695213574","0.350","NO",""
"1","HOLSTERS AND RELATED ITEMS","DESANTIS SPEED SCABBARD HOLSTR","RH OWB LEATHER SIG P250C TAN","002TA8HZ0","DeSantis","002TA8HZ0","93.99","52.02","","","1","","","792695342458","0.300","NO",""
