itemnumber,available,price1,price2,price3,qty1,qty2,qty3
100097,0,"16.87","","","1","",""
100119,0,"16.60","","","1","",""
100120,7,"5.50","","","1","",""
100121,0,"4.39","","","1","",""
100122Z,44,"7.72","","","1","",""
100123Z,0,"26.60","","","1","",""
100124,0,"22.15","","","1","",""
100126AX,9,"78.65","","","1","",""
100143,6,"9.24","","","1","",""
100145,10,"12.43","","","1","",""
100151,5,"13.38","","","1","",""
100152,0,"18.07","","","1","",""
100153AX,10,"135.85","","","1","",""
100154AX,0,"128.70","","","1","",""
100164,4,"24.37","","","1","",""
100168,1,"19.93","","","1","",""
100169,3,"13.27","","","1","",""
100170Z,4,"11.05","","","1","",""
100171AX,9,"117.97","","","1","",""
1001721,14,"45.55","","","1","",""
100179Z,0,"13.27","","","1","",""
100199,26,"9.49","","","1","",""
100200,0,"5.69","","","1","",""
1002C,18,"6.23","","","1","",""
10032DNZ,3,"38.00","","","1","",""
100333,8,"21.37","","","1","",""
100335,0,"5.85","","","1","",""
10034DNZ,3,"38.00","","","1","",""
1003C,10,"9.34","","","1","",""
1006MAG,1,"16.52","","","1","",""
100804,0,"16.74","","","1","",""
1008807,2,"41.12","","","1","",""
